nanos, micros, millis, Nnodes, Nedges, source, sink, mincut
1707370 , 1707 , 1 , 70, 6000, 1, 64, 44
5970793 , 5970 , 5 , 130, 10000, 1, 128, 57
21911905 , 21911 , 21 , 260, 20000, 1, 256, 68
531944 , 531 , 0 , 520, 50000, 1, 512, 83
831253487 , 831253 , 831 , 1030, 100000, 1, 1024, 82
6071764 , 6071 , 6 , 2050, 200000, 1, 2048, 90
39040518953 , 39040518 , 39040 , 4100, 400000, 1, 4096, 80
77003837 , 77003 , 77 , 8200, 800000, 1, 8172, 88
286797381 , 286797 , 286 , 16400, 1600000, 1, 16344, 86
1052267434 , 1052267 , 1052 , 32800, 3200000, 1, 32688, 93